Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.7194509591375079,0.6660903,0.6551724137931034,0.5
2,0.7256010855947223,0.66143405,0.6896551724137931,0.625
3,0.7136658940996442,0.6568872,0.5517241379310345,0.625
4,0.7045427220208305,0.6524986,0.7241379310344828,0.625
5,0.7037119439670018,0.64843273,0.5517241379310345,0.625
6,0.7192185776574271,0.6443206,0.6206896551724138,0.625
7,0.6999109472547259,0.6404149,0.7931034482758621,0.625
8,0.7016532506261554,0.6366906,0.6551724137931034,0.625
9,0.6985556909016201,0.63303876,0.8275862068965517,0.75
10,0.7220877834728786,0.6295997,0.6551724137931034,0.625
11,0.6954853875296456,0.62625545,0.7241379310344828,0.625
12,0.6916083182607379,0.6230334,0.7241379310344828,0.625
13,0.692349910736084,0.6200711,0.7586206896551724,0.625
14,0.6930944834436689,0.6170386,0.7241379310344828,0.75
15,0.698904982634953,0.61414385,0.6896551724137931,0.75
16,0.6875810708318438,0.6114076,0.7241379310344828,0.75
17,0.6890646389552525,0.6088193,0.7241379310344828,0.75
18,0.6926523276737758,0.60616916,0.7241379310344828,0.875
19,0.6763198205402919,0.6036433,0.7586206896551724,0.875
20,0.6991789000374931,0.60122526,0.7241379310344828,0.875
21,0.683087238243648,0.59881115,0.6896551724137931,0.875
22,0.6721081904002598,0.596573,0.7586206896551724,0.875
23,0.6679646628243583,0.59433275,0.7241379310344828,0.875
24,0.66704147202628,0.59210193,0.7241379310344828,0.875
25,0.687501813684191,0.59006464,0.7241379310344828,0.875
26,0.6659340006964547,0.5881517,0.7241379310344828,0.875
27,0.685750424861908,0.5861043,0.6896551724137931,0.875
28,0.6482978633471898,0.5841278,0.7241379310344828,0.875
29,0.6717497025217328,0.5821314,0.6896551724137931,0.875
30,0.6871716209820339,0.5802541,0.7241379310344828,0.875
31,0.666287328515734,0.5784204,0.7241379310344828,0.875
32,0.6716880031994411,0.5766047,0.7241379310344828,0.875
33,0.6655059201376778,0.5749184,0.7586206896551724,0.875
34,0.6807969723428998,0.57331634,0.6896551724137931,0.875
35,0.6520983236176627,0.5718008,0.6896551724137931,0.875
36,0.6662551164627075,0.5701692,0.7241379310344828,0.875
37,0.6543712786265782,0.5687301,0.6896551724137931,0.875
38,0.6485563261168343,0.5671568,0.7241379310344828,0.875
39,0.6748343024935041,0.5657549,0.7241379310344828,0.875
40,0.6622959545680455,0.56428504,0.7241379310344828,0.875
41,0.6679224712508065,0.5628772,0.7241379310344828,0.875
42,0.6640020608901978,0.5616013,0.7241379310344828,0.875
43,0.6495407734598432,0.5602548,0.7241379310344828,0.875
44,0.6397289037704468,0.5589366,0.7586206896551724,0.875
45,0.6502367002623421,0.5576008,0.7241379310344828,0.875
46,0.6553023457527161,0.5563189,0.7241379310344828,0.875
47,0.6535035031182426,0.55500305,0.6896551724137931,0.875
48,0.6712606719561985,0.5537101,0.7241379310344828,0.875
49,0.6526598760059902,0.5526004,0.7241379310344828,0.875
50,0.657558194228581,0.5515187,0.7241379310344828,0.875
51,0.6597178067479815,0.5504098,0.7241379310344828,0.875
52,0.647892917905535,0.54931855,0.7241379310344828,0.75
53,0.642161990915026,0.5482023,0.7586206896551724,0.75
54,0.644690385886601,0.54702795,0.7241379310344828,0.75
55,0.6460267560822623,0.5458536,0.7586206896551724,0.75
56,0.6632672803742545,0.5447042,0.6896551724137931,0.75
57,0.6505735431398664,0.54368055,0.7586206896551724,0.75
58,0.658113283770425,0.54264414,0.6896551724137931,0.75
59,0.6674910954066685,0.5416163,0.7586206896551724,0.75
60,0.650072089263371,0.5405212,0.7241379310344828,0.75
61,0.6414913364819118,0.53959227,0.7241379310344828,0.75
62,0.6314025436128888,0.53872406,0.7241379310344828,0.75
63,0.6638777085712978,0.53774405,0.6896551724137931,0.75
